,Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,year,CPI
0,Switzerland,1,7.587000000000001,1.3965100000000001,1.34951,0.9414299999999999,0.66557,0.41978000000000004,0.29678000000000004,2.5173799999999997,2015,86.0
1,Iceland,2,7.561,1.3023200000000001,1.4022299999999999,0.94784,0.6287699999999999,0.14145,0.4363,2.70201,2015,79.0
2,Denmark,3,7.527,1.32548,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003,2015,91.0
3,Norway,4,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.4653099999999997,2015,88.0
4,Canada,5,7.4270000000000005,1.32629,1.32261,0.9056299999999999,0.63297,0.32957,0.45811,2.4517599999999997,2015,83.0
5,Finland,6,7.406000000000001,1.29025,1.31826,0.8891100000000001,0.64169,0.41372,0.23351,2.61955,2015,90.0
6,Netherlands,7,7.377999999999999,1.32944,1.28017,0.89284,0.6157600000000001,0.31814000000000003,0.4761,2.4657,2015,84.0
7,Sweden,8,7.364,1.33171,1.2890700000000002,0.9108700000000001,0.6598,0.43843999999999994,0.36262,2.3711900000000004,2015,89.0
8,New Zealand,9,7.2860000000000005,1.2501799999999998,1.3196700000000001,0.9083700000000001,0.6393800000000001,0.42922,0.47501000000000004,2.26425,2015,91.0
9,Australia,10,7.284,1.33358,1.30923,0.93156,0.6512399999999999,0.35636999999999996,0.43562,2.26646,2015,79.0
10,Israel,11,7.278,1.2285700000000002,1.22393,0.9138700000000001,0.41318999999999995,0.07785,0.33171999999999996,3.08854,2015,61.0
11,Costa Rica,12,7.226,0.95578,1.2378799999999999,0.8602700000000001,0.63376,0.10583,0.25497,3.17728,2015,55.0
12,Austria,13,7.2,1.33723,1.29704,0.8904200000000001,0.62433,0.18675999999999998,0.33088,2.5332,2015,76.0
13,Mexico,14,7.187,1.02054,0.91451,0.8144399999999999,0.48181,0.21311999999999998,0.14074,3.6021400000000003,2015,31.0
14,United States,15,7.119,1.3945100000000001,1.24711,0.86179,0.54604,0.1589,0.40105,2.51011,2015,76.0
15,Brazil,16,6.983,0.98124,1.2328700000000001,0.69702,0.49049,0.17521,0.14574,3.26001,2015,38.0
16,Luxembourg,17,6.946000000000001,1.5639100000000001,1.21963,0.91894,0.61583,0.37798000000000004,0.28034000000000003,1.9696099999999999,2015,85.0
17,Ireland,18,6.94,1.33596,1.36948,0.89533,0.6177699999999999,0.28703,0.45901000000000003,1.9757,2015,75.0
18,Belgium,19,6.937,1.30782,1.28566,0.8966700000000001,0.5845,0.2254,0.2225,2.4148400000000003,2015,77.0
19,United Arab Emirates,20,6.901,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,2.24743,2015,70.0
20,United Kingdom,21,6.867000000000001,1.26637,1.28548,0.90943,0.59625,0.32066999999999996,0.51912,1.9699400000000002,2015,81.0
21,Oman,22,6.853,1.36011,1.08182,0.76276,0.63274,0.32524000000000003,0.21541999999999997,2.4748900000000003,2015,45.0
22,Venezuela,23,6.81,1.04424,1.25596,0.7205199999999999,0.42908,0.11069000000000001,0.058410000000000004,3.1913099999999996,2015,17.0
23,Singapore,24,6.797999999999999,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,1.8850099999999999,2015,85.0
24,Panama,25,6.7860000000000005,1.0635299999999999,1.1985,0.79661,0.5421,0.0927,0.24434,2.84848,2015,39.0
25,Germany,26,6.75,1.32792,1.2993700000000001,0.89186,0.6147699999999999,0.21843,0.28214,2.1156900000000003,2015,81.0
26,Chile,27,6.67,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363000000000004,2.67585,2015,70.0
27,Qatar,28,6.611000000000001,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,1.55674,2015,71.0
28,France,29,6.575,1.27778,1.2603799999999998,0.9457899999999999,0.55011,0.20646,0.12332,2.21126,2015,70.0
29,Argentina,30,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11450999999999999,2.8360000000000003,2015,32.0
